gene_symbol	module_id	module_class	sensor_family	activation_tier	scoring_direction	cell_type_breadth	detectability	also_in_module	doi	aliases	sensor	panel_source
TUBGCP2	SASP	sasp_output		Post-NASP	positive	Broad	low		10.1038/s41467-022-32552-1			SenMayo
VEGFA	SASP	sasp_output		Post-NASP	positive	Broad	high	INFLAMMAGING	10.1038/s41580-024-00738-8			SenNet
VEGFC	SASP	sasp_output		Post-NASP	positive	Endothelial-enriched	low		10.1038/s41467-022-32552-1			SenMayo
VGF	SASP	sasp_output		Post-NASP	positive	Neural-enriched	high		10.1038/s41467-022-32552-1			SenMayo
WNT16	SASP	sasp_output		Post-NASP	positive	Broad	low		10.1038/s41467-022-32552-1			SenMayo
WNT2	SASP	sasp_output		Post-NASP	positive	Broad	low		10.1038/s41467-022-32552-1			SenMayo
ZFP36L1	SASP	sasp_regulator		Post-NASP	positive	Broad	high		10.1038/ncb3225			
AKT1	SENESCENCE	senescence_survival		Post-NASP	positive	Broad	medium		10.1038/s41580-024-00738-8			SenNet
ATM	SENESCENCE	senescence_core		Post-NASP	positive	Broad	high		10.1038/s41580-024-00738-8			SenNet
B2M	SENESCENCE	senescence_core		Post-NASP	positive	Immune-enriched	high	INFLAMMAGING|SENESCENCE	10.1038/cddis.2014.489			
BCL2	SENESCENCE	senescence_survival		Post-NASP	positive	Broad	high		10.1038/s41580-024-00738-8			SenNet
BCL2L1	SENESCENCE	senescence_survival		Post-NASP	positive	Broad	high		10.1038/s41580-024-00738-8			SenNet
BCL2L2	SENESCENCE	senescence_survival		Post-NASP	positive	Broad	low		10.1038/s41580-024-00738-8			SenNet
CCND1	SENESCENCE	senescence_proliferation_inverse		Post-NASP	inverse	Broad	high		10.1038/s41580-024-00738-8			SenNet
CDKN1A	SENESCENCE	senescence_core		Post-NASP	positive	Broad	high		10.1038/s41580-024-00738-8			SenNet
CDKN2A	SENESCENCE	senescence_core		Post-NASP	positive	Broad	medium		10.1038/s41580-024-00738-8			SenNet
CDKN2B	SENESCENCE	senescence_core		Post-NASP	positive	Broad	low		10.1038/s41580-024-00738-8			SenNet
CHEK1	SENESCENCE	senescence_core		Post-NASP	positive	Broad	low		10.1038/s41580-024-00738-8			SenNet
DPP4	SENESCENCE	senescence_surface		Post-NASP	positive	Broad	medium		10.1101/gad.302570.117			
E2F1	SENESCENCE	senescence_proliferation_inverse		Post-NASP	inverse	Broad	low		10.1038/s41580-024-00738-8			SenNet
